"","created_at","screen_name","text"
"77",2019-09-03 02:58:11,"1srak_rahmad1","#kkndidesapenari ternyata promosi novel"
"78",2019-09-03 02:56:11,"anneesssy","ok its enough make my day #kkndidesapenari #kkndesapenari https://t.co/UBMgdz67y7"
"79",2019-09-03 02:55:31,"munaazh","Oke, sudah di tangan. Siap? #kkndidesapenari https://t.co/WsBIuQy7lE"
"80",2019-09-03 02:51:57,"Mamakku5","KKN di desa penari <U+0001F47B> x eko_saputroii 

#kkndidesapenari https://t.co/ISqBlBBJeq"
"81",2019-09-03 02:51:34,"varin_mchtr","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"82",2019-09-03 02:51:31,"Aypuspitaa","KKN DI DESA PENARI (VERSI KEPALA MONYET)

                  - A THREAD - 
#kkndidesapenari"
"83",2019-09-03 02:51:26,"kunang2import","Apa yang diharapkan dari ""Apa cuma gue yang gak ngikutin #GameOfThrones / baca #kkndidesapenari ?"" person?"
"84",2019-09-03 02:51:25,"andhikadst","Every social media right now 
#kkndidesapenari https://t.co/aKWCQseXui"
"85",2019-09-03 02:49:55,"mantannypevita","Tidak ada tempat angker di Dusun Wonorejo, Desa Kalibaru Wetan, Banyuwangi. Kadus setempat membantah dugaan cerita horor 'KKN Desa Penari' terjadi di sana. #KKNdiDesaPenari #KKNDesaPenari https://t.co/2zMa1P9PjY"
"86",2019-09-03 02:47:37,"Nindhadewi","#kkndidesapenari:

#Hwarang https://t.co/Yr2ZlK6x7t"
"87",2019-09-03 02:47:17,"Nindhadewi","#KKNdiDesaPenari udah rilis pemainnya nih... mantap <U+0001F44F><U+0001F44F><U+0001F44F> https://t.co/VSrKsLIZ0s"
"88",2019-09-03 02:47:21,"ben_kosasih","Akhirnya ada yg menjelaskan faktanya
Btw, ada yg berani kesana?
#kkndidesapenari https://t.co/ZDyM9CSio6"
"89",2019-09-03 02:47:07,"owenrahadiann","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"90",2019-09-03 02:47:04,"seno_hartanto","Oke, sudah di tangan. Siap? #kkndidesapenari https://t.co/WsBIuQy7lE"
"91",2019-09-03 02:47:03,"prsprnmly","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"92",2019-09-03 02:46:15,"JVCWallPanel3D","Surga adalah puncak kemewahan dan kebahagiaan yang menyatu didalamnya. Keindahan serta kemewahannya didedikasikan untuk membahagiakan penghuninya. Lantas, apa yang sudah kamu lakukan untuk menciptakan surga kamu saat ini? 
#dekorasirumah
#interiordesign 
#design 
#kkndidesapenari https://t.co/cLKMGz8Qmj"
"93",2019-09-03 02:44:36,"Lylola_","Kkn versi gue wkwk #kkndidesapenari https://t.co/ytCzrZw9rO"
"94",2019-09-03 02:42:25,"Wahyekk_","Ya allah aku ngakak <U+0001F923> save wahyu

santuy slur
#kkndidesapenari #kkndesapenari https://t.co/U6CcibxUFK"
"95",2019-09-03 02:41:52,"miekoahhh","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"96",2019-09-03 02:38:48,"destyabagus","Kamu percaya gak adanya bangsa jin seperti di kisah #kkndidesapenari ? Memang jin itu ada dan bisa ganggu. Tenang, kamu bisa mengusirnya kok. Baca ini ya!
https://t.co/PHJbiGZtYE"
"97",2019-09-03 02:38:17,"alfidahanum","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"98",2019-09-03 02:38:11,"MIRANDASEFTIANA","Horor 
Orang lain : #kkndidesapenari 
Saya : Kain penutup keranda di atas lemari <U+0001F623>"
"99",2019-09-03 02:36:51,"Zainalnal19","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"100",2019-09-03 02:36:49,"yourlatte164","Akhirnya ada yg menjelaskan faktanya
Btw, ada yg berani kesana?
#kkndidesapenari https://t.co/ZDyM9CSio6"
"101",2019-09-03 02:36:29,"ekay_12","Melihat lokasi Bima sama Ayu. Dari cerita #kkndidesapenari ternyata beneran ada. https://t.co/aGYxDO4dto"
"102",2019-09-03 02:35:22,"lvyrslfshf","Nemu ini di grup, totally agreed <U+0001F602> #kkndesapenari #kkndidesapenari #wahyu https://t.co/b2xR9U0K7G"
"103",2019-09-03 02:35:13,"Milea_tan","KKN DI DESA PENARI (versi PAK PRABU) 
. 
#FirstTweet 
#kkndidesapenari 
#Pakprabu"
"104",2019-09-03 02:33:55,"KhaeratiAnnisa","Gara-gara #kkndidesapenari, buka twitter yg hampir punah .."
"105",2019-09-03 02:32:56,"Ikhsandarmo","Cerita #kkndidesapenari adalah wujud suksesnya salah satu gaya pemasaran di era digital"
"106",2019-09-03 02:32:50,"prdsby","Oke, sudah di tangan. Siap? #kkndidesapenari https://t.co/WsBIuQy7lE"
"107",2019-09-03 02:32:26,"anas_achmad_","@SimpleM81378523 @bacahorror #badarawuhi #kkndidesapenari https://t.co/BWACa6xhI2"
"108",2019-09-03 02:31:12,"achshivan","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"109",2019-09-03 02:30:52,"PuspitaSilmi","jangan menyia-nyiakan waktumu karena waktu itu tdk dibisa diputar .dijilat di celupin..
#bacotsantuy #kkndidesapenari https://t.co/zjH6xprEuP"
"110",2019-09-03 02:29:05,"burhansetyabudi","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"111",2019-09-03 02:26:58,"Samleko93438250","W jd tkt nnti bln oktober ada live in ke jawa dr grja trs tinggal drmh orang
Tkt kebayang nnti ada cewe penari kyk di KKN :( #kkndidesapenari"
"112",2019-09-03 02:26:49,"billoonn","<U+250F><U+2501><U+2501><U+2501><U+2501><U+2501>°•<U+2740>•°<U+2501><U+2501><U+2501><U+2501><U+2501><U+2513>
            Para Pemain
          KKN di Desa Penari
           Versi Artis Korea      
<U+2517><U+2501><U+2501><U+2501><U+2501><U+2501>°•<U+2740>•°<U+2501><U+2501><U+2501><U+2501><U+2501><U+251B>
<U+250A>  <U+250A>    <U+250A>
<U+250A>  <U+250A>    <U+2726>
<U+250A>  <U+2740>
<U+2726>

#kkndidesapenari
—a thread https://t.co/3Rc8iipvlI"
"113",2019-09-03 02:25:41,"billoonn","Badarawuhi Versi Jepang
#kkndidesapenari https://t.co/YmYeW7i9ub"
"114",2019-09-03 02:25:31,"Halluiniaku","@handani_riyan telah tersedia dibioskop kesayangan anda <U+0001F602>
#kkndesapenari #kkndidesapenari https://t.co/s4tLgSi73E"
"115",2019-09-03 02:22:41,"yhnsdp","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"116",2019-09-03 02:22:41,"bakmigorenggg","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"117",2019-09-03 02:22:10,"Syahrul04066399","Karakter wahyu didesa penari mirip cowo-cowo twitter; pribadi yang santuy dalam ngebacod

Karekter widya didesa penari mirip cewe-cewe twitter; penasaran terosss, yang seneng stalking sampai ke akar-akar

#kkndidesapenari"
"118",2019-09-03 02:21:46,"denyramandaa","Sobat Muda, tahukah kamu cerita tentang “KKN di Desa Penari” dari akun Twitter @simpleM81378523? Wartawan @hariankompas @om_angger pun mencari jejak Desa Penari. #KKNdiDesaPenari #AdadiKompas 

— SEBUAH UTAS — https://t.co/s1uSNoMj35"
"119",2019-09-03 02:21:40,"jnnchrln","Idk what to say anymore #kkndidesapenari versi #SEVENTEEN 

Humorku ambyar  <U+0001F602><U+0001F602><U+0001F602> https://t.co/z3TKlW3bxK"
"120",2019-09-03 02:21:03,"BimosaktiS","KKN baiknya jangan disubtansikan sebatas pengabdian di Desa saja, tapi di includekan dengan porsi jabatan dan proyek pemerintah <U+0001F600>

#kkndidesapenari"
"121",2019-09-03 02:19:47,"kitkitttin","Another cerita KKN selain #kkndidesapenari 

https://t.co/663dC1rhdO"
"122",2019-09-03 02:16:55,"oppajidhyn","Oke, sudah di tangan. Siap? #kkndidesapenari https://t.co/WsBIuQy7lE"
"123",2019-09-03 02:16:46,"farhanhusnii","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"124",2019-09-03 02:15:51,"syapasih","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"125",2019-09-03 02:14:28,"stressfulwater","Tukang cilok yang ditemuin Widya sama Anton terduga teroris!

#kkndidesapenari https://t.co/8mKKJ38WJN"
"126",2019-09-03 02:13:41,"izzahaliza4","Ayu dan Bima kecyduk nur <U+0001F602>
#kkndidesapenari #kkndesapenari https://t.co/IN9uuMBLrC"
"127",2019-09-03 02:11:21,"ichapchose","KKN DI DESA PENARI (VERSI KEPALA MONYET)

                  - A THREAD - 
#kkndidesapenari"
"128",2019-09-03 02:11:05,"ElvinAkira","Akhirnya ada yg menjelaskan faktanya
Btw, ada yg berani kesana?
#kkndidesapenari https://t.co/ZDyM9CSio6"
"129",2019-09-03 02:11:02,"hoahem","KKN desa penari mah lewat 
#kkndidesapenari #hidayah https://t.co/aB94TDe58b"
"130",2019-09-03 02:10:32,"wahyurochma","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"131",2019-09-03 02:08:59,"M4RTINAAAA","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
"132",2019-09-03 02:08:31,"adam_raider","KKN Di Desa Penari

dari sudut pandang penjual cilok yang deket Pom Bensin

#kknpenari
#kkndidesapenari

-sebuah utas- https://t.co/zhywzKoV0J"
